room_idx,room_name,occupied_mesh_volume,mesh_volume,ratio_occupied_mesh_volume,percentage_occupied_mesh_volume,occupied_box_volume,boxcoll_volume,ratio_occupied_boxcoll_volume,percentage_occupied_boxcoll_volume,area,area_2_boundingbox,object_count_1,mesh_obj_count,manual_object_count,num_corners,view_outside,degree,betweenness,closeness,eigenvector,pagerank
14.0,CATS,164.034292,879.3614,0.1865379717,18.65379717,12.56699141,904.5399186,0.01389324137,1.389324137,87.47634,89.98178,16,111.0,11.0,4.0,0.0,2,0.0101010101010101,0.20754716981132076,0.2183729991530025,0.03685890683609923
15.0,RUINS,23.77783299,588.4437,0.04040799994,4.040799994,48.51688391,1167.898087,0.04154205274,4.154205274,122.733,243.5874,101,101.0,12.0,3.0,1.0,3,0.23304473304473308,0.25287356321839083,0.3171095176208166,0.05270299680229012
16.0,CLOCKS,53.07694356,168.008,0.3159191441,31.59191441,67.27560037,389.3451688,0.172791666,17.2791666,32.86012,76.14998,186,219.0,34.0,4.0,0.0,2,0.14285714285714285,0.22,0.14544727294247245,0.038727416169726345
17.0,CRYSTALS,4.169218198,326.1171,0.01278442068,1.278442068,78.86042049,514.4023472,0.1533049391,15.33049391,41.29261,65.13324,6,6.0,6.0,8.0,0.0,2,0.08658008658008659,0.19469026548672566,0.06880048757541515,0.0406406187818225
18.0,COLORFUL,62.03103171,309.9413,0.2001379994,20.01379994,62.03103171,448.5137581,0.1383035204,13.83035204,42.33323,61.26056,9,5.0,4.0,5.0,0.0,2,0.04473304473304473,0.1746031746031746,0.037098799092715073,0.041554444478439354
19.0,ALTAR,0.7360292274,480.8626,0.00153064353,0.153064353,75.9900178,774.4005649,0.09812753406,9.812753406,29.29076,47.17113,11,10.0,2.0,4.0,1.0,2,0.05050505050505051,0.18487394957983194,0.02963261593261979,0.04178704899089261
20.0,APPLECRATE,2.587197555,202.3832,0.01278365771,1.278365771,13.88246686,461.7855166,0.03006258613,3.006258613,46.09792,105.1825,113,105.0,38.0,6.0,1.0,2,0.09668109668109669,0.2037037037037037,0.04152442622651193,0.0414248647912842
21.0,BDAY,3.145120353,496.1337,0.006339259665,0.6339259665,8.386578565,668.6414341,0.01254271443,1.254271443,99.68826,134.3496,51,93.0,21.0,6.0,0.0,2,0.15151515151515152,0.23157894736842105,0.0805424866394358,0.04033584929989248
22.0,FIREPIT,8.576602313,245.7817,0.03489520299,3.489520299,8.576602313,249.6852466,0.03434965594,3.434965594,41.05645,41.70856,17,17.0,7.0,4.0,0.0,2,0.2077922077922078,0.2682926829268293,0.17217540850014712,0.0381396533550254
23.0,HUMAN,77.2795104,259.1465,0.2982078106,29.82078106,1.935988675,333.3059532,0.005808443131,0.5808443131,72.61251,93.39309,19,18.0,9.0,0.0,1.0,3,0.4083694083694083,0.3188405797101449,0.37628260256932133,0.05108620773466471
